一级功能|功能点,需求描述,面向对象,模块,需求类型,父记录,需求版本,优先级,关联需求,comments,负责同学,预期完成时间,需求状态
飞书数据接入,接入飞书平台各类数据，为驾驶舱系统提供基础数据支撑,系统,上下文平台,数据建设,,0.1,P0,,三个场景均依赖飞书数据,,,待开发
内部其他数据接入,接入漕河泾内部各业务系统数据（烽火CRM、访客系统等）,系统,上下文平台,数据建设,,0.2,P1,,部分系统尚在建设中,,,待开发
外部数据接入,接入企查查/天眼查等外部公开数据API丰富企业画像,系统,上下文平台,数据建设,,0.2,P1,,,,,待开发
飞书妙记,接入飞书妙记API获取会议录音及转录内容，用于走访记录的自动关联和信息提取,系统,上下文平台,数据建设,飞书数据接入,0.1,P0,"走访记录生成,妙记自动关联",走访场景核心数据源，需处理方言识别不准的问题,,,待开发
飞书日历,接入飞书日历API实现拜访计划同步，支持日程与妙记的自动关联,系统,上下文平台,数据建设,飞书数据接入,0.1,P0,妙记自动关联,全公司已强制使用飞书日历,,,待开发
飞书文档,接入飞书文档API支持背调报告、周报等文档的自动生成和读写,系统,上下文平台,数据建设,飞书数据接入,0.2,P1,背调报告,背调报告最终输出为飞书文档,,,待开发
飞书任务,接入飞书任务API实现任务自动创建和分发，支持走访任务和政策触达任务的自动化,系统,上下文平台,数据建设,飞书数据接入,0.2,P1,"任务自动创建及分发,政策触达任务分发功能",,,,待开发
飞书多维表格,接入飞书多维表格API获取结构化业务数据，包括企业清单、走访记录、孵化器企业信息等,系统,上下文平台,数据建设,飞书数据接入,0.2,P1,,各部门业务数据多以多维表格形式存在,,,待开发
烽火 CRM,接入烽火CRM系统获取客户跟踪记录、合同信息和客户经理对应关系，先以只读方式对接,系统,上下文平台,数据建设,内部其他数据接入,0.2,P1,烽火CRM接入,烽火系统尚未正式启用，基于飞书生态的ISV产品,,,待开发
会议室预约系统,接入A6等园区会议室预约系统获取会议频次数据，用于企业活跃度分析和运营监控,系统,上下文平台,数据建设,内部其他数据接入,0.2,P2,日常运营监控,校友软件实现，可拉取静态数据表,,,待确认
访客登记系统,接入访客登记系统（多维表格形式）获取来访记录，支持人员流动分析和安全监控,系统,上下文平台,数据建设,内部其他数据接入,0.2,P2,日常运营监控,飞书多维表格形式，可实时获取,,,待确认
门禁系统,接入门禁打卡系统获取人员进出数据，需与第三方硬件厂商对接,系统,上下文平台,数据建设,内部其他数据接入,0.3,P3,日常运营监控,外部供应商系统，非实时数据，4月前不一定就绪,,,延期
企查查 / 天眼查,通过企查查/天眼查等API补全企业工商信息、股权结构、经营状况等公开数据,系统,上下文平台,数据建设,外部数据接入,0.1,P1,企业画像构建,企业数据库更新频率约3个月一次，需补充实时数据,,,待开发
知识产权数据,获取企业专利、商标、软著等知识产权数据，丰富企业技术能力画像，辅助政策匹配判断,系统,上下文平台,数据建设,外部数据接入,0.2,P1,企业画像构建,高新技术企业认定的关键判断维度,,,待开发
投融资数据,获取企业历史融资轮次、金额、投资方等数据，评估企业发展潜力和活跃度,系统,上下文平台,数据建设,外部数据接入,0.2,P1,企业画像构建,,,,待开发
,,,上下文平台,,外部数据接入,,,,,,,
数据库建设,建设统一的数据存储和管理平台，整合内外部数据源为全部场景提供基础支撑,系统,上下文平台,数据建设,,0.1,P0,,三个场景共用的基础设施,,,待开发
企业数据库,建设统一的企业信息数据库，整合漕河泾17000+企业数据和走访信息，先dump现有企业数据库数据再逐步替代,系统,上下文平台,数据建设,数据库建设,0.1,P0,,现有企业数据库等同内部企查查但使用率低，目标是替代它,,,待开发
部门知识库,建设各部门业务知识库，沉淀赛道关键问题（3+3话术）、服务清单、背调模板等业务知识,系统,上下文平台,数据建设,数据库建设,0.2,P1,"赛道关键问题配置,服务资源清单配置",各赛道负责人需提供必问问题和关键词,,,待开发
,,,上下文平台,,,,,,,,,
企业画像,企业画像模块，用于展示企业完整信息和历史记录，作为全部场景的公共基础能力,招商经理/管理者,客户拜访app,app开发,,0.1,P0,,三个场景均需企业画像作为底层支撑,,,待开发
数据接入,孵化器场景所需数据源的接入，包括A6物理空间数据和孵化企业信息,系统,孵化器管理app,数据建设,,0.1,P0,,优先接入会议室预约和访客登记，门禁和人流延后,,,待开发
日常运营监控,监控孵化器日常运营情况，包括人员流动、会议频次、企业活跃度等指标，帮助运营人员及时发现异常,孵化器运营人员,孵化器管理app,app开发,,0.1,P0,,赵婧总排序第一优先级,,,待开发
企业数据库看板,面向管理层的企业数据全局视图，展示园区企业总量、产业分布、重点企业动态等信息,管理层,领导看板app,app开发,,0.3,P2,,需基于各场景数据积累后生成,,,延期
